# period_ms=10 warmup=200 seen=5201 dropped=0 wall_s=52.075 verify_max_abs=0
seq,n_ue,qlen,t_ind_ms,t_q_ms,t_feat1_ms,t_inf1_ms,t_feat_ms,t_inf_ms,t_act_ms
0,8,1,3.073,0.088333,0.001592,0.251766,0.008185,0.536373,1.021266
1,8,1,2.109,0.065556,0.001552,0.161204,0.007440,0.382214,0.923968
2,7,1,2.310,0.066733,0.001536,0.139148,0.007072,0.322791,0.949688
3,7,1,2.644,0.081396,0.002008,0.155486,0.008785,0.335828,1.311821
4,8,1,1.596,0.040189,0.000920,0.072789,0.005325,0.177178,0.662968
5,8,1,1.071,0.039857,0.000763,0.070072,0.003317,0.131868,0.385927
6,9,1,0.853,0.073975,0.000654,0.070319,0.002911,0.125327,0.422504
7,9,1,0.812,0.033072,0.000537,0.052690,0.003171,0.141080,0.433280
8,5,1,0.834,0.033162,0.000677,0.047496,0.002252,0.103099,0.591644
9,8,1,0.927,0.043834,0.000886,0.053488,0.003793,0.118376,0.416126
10,4,1,0.487,0.027882,0.000652,0.061420,0.001549,0.100317,0.414130
11,9,1,0.824,0.030029,0.000684,0.069441,0.003277,0.171342,0.419852
12,3,1,0.347,0.025664,0.000586,0.048707,0.001250,0.077211,0.377378
13,9,1,1.333,0.059200,0.000975,0.065271,0.005666,0.276527,0.696031
14,5,1,1.796,0.098476,0.001501,0.134466,0.005619,0.325728,1.063806
15,7,1,2.527,0.083583,0.001918,0.131817,0.008664,0.471245,1.098843
16,9,1,1.534,0.050348,0.000941,0.068619,0.005567,0.262332,0.606571
17,3,1,0.790,0.047179,0.001069,0.080273,0.002374,0.136360,0.595030
18,8,1,1.114,0.035961,0.000876,0.137867,0.004453,0.282715,0.510882
19,9,1,1.121,0.029118,0.000759,0.072479,0.004330,0.222356,0.409051
20,6,1,1.763,0.060480,0.000992,0.086905,0.004023,0.219841,0.557598
21,8,1,1.812,0.046219,0.001111,0.092626,0.006484,0.345289,0.686267
22,7,1,2.030,0.073753,0.001744,0.158905,0.007829,0.417323,0.953693
23,9,1,2.915,0.087613,0.001810,0.114188,0.010118,0.563554,0.980026
24,9,1,2.072,0.055285,0.001317,0.106606,0.007699,0.253802,0.762611
25,9,1,1.662,0.049374,0.001259,0.095490,0.006675,0.224584,0.651725
26,9,1,2.259,0.076393,0.001312,0.120127,0.008311,0.323988,1.136483
27,9,1,1.081,0.077513,0.000816,0.065167,0.003977,0.209486,0.514967
28,8,1,1.358,0.070382,0.000923,0.074162,0.005245,0.304973,0.660249
29,9,1,2.194,0.096726,0.001250,0.090262,0.007590,0.368196,1.056750
30,5,1,1.416,0.051329,0.001244,0.114300,0.004586,0.257098,0.864691
31,8,1,2.106,0.098246,0.001390,0.139853,0.008018,0.434859,1.300311
32,6,1,1.898,0.103295,0.001643,0.140856,0.006722,0.378792,1.381456
33,6,1,1.356,0.067296,0.001074,0.095167,0.004493,0.290221,0.606704
34,7,1,1.886,0.064110,0.001494,0.149297,0.006896,0.410986,0.908677
35,9,1,0.814,0.016964,0.000895,0.037404,0.003537,0.140182,0.264207
36,9,1,0.737,0.025622,0.000628,0.031601,0.002906,0.103011,0.396215
37,4,1,0.355,0.015346,0.000509,0.029329,0.001398,0.056908,0.228401
38,9,1,0.583,0.020666,0.000502,0.022332,0.002770,0.078014,0.207569
39,6,1,0.498,0.016782,0.000493,0.027294,0.001944,0.062081,0.217740
40,9,1,0.625,0.026198,0.000708,0.030254,0.003506,0.091793,0.302290
41,9,1,0.731,0.026131,0.000551,0.036056,0.002844,0.117315,0.436048
42,7,1,0.683,0.029783,0.000505,0.034062,0.002135,0.084937,0.358056
43,7,1,0.651,0.036559,0.000570,0.034825,0.002806,0.097706,0.516631
44,11,1,1.221,0.041153,0.000833,0.103290,0.006170,0.287180,0.439212
45,8,1,1.650,0.048648,0.001313,0.095611,0.006396,0.316494,0.701533
46,5,1,1.592,0.077848,0.001526,0.146199,0.005465,0.314728,0.871225
47,8,1,2.426,0.090347,0.001645,0.160408,0.009367,0.492539,1.079162
48,9,1,2.653,0.081341,0.001601,0.114661,0.010144,0.504507,0.850434
49,9,1,2.241,0.091762,0.001757,0.121605,0.009542,0.466386,1.098713
50,8,1,1.933,0.059798,0.001625,0.127127,0.008286,0.413620,0.814145
51,10,1,2.530,0.100836,0.001403,0.137884,0.009485,0.525861,0.874147
52,6,1,1.667,0.059551,0.001461,0.124621,0.006232,0.337010,0.807382
53,6,1,1.777,0.067232,0.001699,0.109501,0.006738,0.314373,0.836265
54,4,1,1.713,0.079098,0.001517,0.169618,0.004737,0.305049,0.993067
55,9,1,1.451,0.044688,0.000830,0.069822,0.005625,0.271682,0.585380
56,6,1,0.665,0.030347,0.000686,0.050060,0.003004,0.142490,0.374344
57,8,1,1.902,0.110099,0.001712,0.135899,0.008072,0.376339,0.972645
58,9,1,2.260,0.061088,0.001370,0.085777,0.008222,0.246976,0.778437
59,8,1,2.312,0.114808,0.001701,0.115170,0.009084,0.269084,1.186906
60,7,1,2.065,0.068753,0.001536,0.131786,0.007162,0.271427,0.829995
61,7,1,1.934,0.069388,0.001479,0.096941,0.007291,0.226551,0.840633
62,10,1,2.302,0.077791,0.001349,0.130632,0.008970,0.476158,0.817407
63,7,1,1.769,0.060710,0.001294,0.118638,0.006660,0.358789,0.752802
64,6,1,1.834,0.059559,0.001517,0.102130,0.006229,0.309339,0.819521
65,8,1,2.261,0.057956,0.001329,0.111343,0.008146,0.419704,0.944458
66,4,1,1.404,0.062188,0.001314,0.106297,0.003819,0.226724,0.779777
67,9,1,2.354,0.073615,0.001236,0.104044,0.008654,0.482689,0.907789
