# period_ms=10 warmup=200 seen=5200 dropped=0 wall_s=52.064 verify_max_abs=3.58e-07
seq,n_ue,qlen,t_ind_ms,t_q_ms,t_feat1_ms,t_inf1_ms,t_feat_ms,t_inf_ms,t_act_ms
0,8,1,3.260,0.106468,0.001860,0.232523,0.010894,0.308894,1.123981
1,8,1,2.547,0.094382,0.002170,0.089430,0.011480,0.146806,1.134786
2,7,1,3.160,0.302394,0.002164,0.155283,0.009131,0.213285,1.519194
3,7,1,1.878,0.053188,0.002478,0.073545,0.009143,0.118585,0.811536
4,8,1,2.739,0.084783,0.002044,0.089906,0.012047,0.152544,1.010958
5,8,1,2.050,0.085328,0.001848,0.105491,0.011162,0.176052,1.075717
6,9,1,2.550,0.228074,0.001549,0.059932,0.009725,0.113472,0.987614
7,9,1,1.710,0.068588,0.000973,0.053423,0.008300,0.107137,0.877234
8,5,1,1.208,0.100337,0.001832,0.065715,0.005887,0.091915,0.704541
9,8,1,2.102,0.047147,0.001732,0.062379,0.007921,0.109688,1.029611
10,4,1,1.262,0.080696,0.001799,0.066610,0.005881,0.098712,1.126687
11,9,1,3.068,0.220085,0.002580,0.110575,0.013992,0.183922,1.477274
12,3,1,1.020,0.056366,0.001037,0.044871,0.002515,0.057369,0.855076
13,9,1,1.827,0.071494,0.001428,0.072335,0.011235,0.143654,0.958204
14,5,1,1.424,0.050325,0.001479,0.061467,0.004673,0.086922,0.752622
15,7,1,1.290,0.058342,0.001102,0.043151,0.006795,0.076006,0.665470
16,9,1,1.913,0.060082,0.001416,0.053903,0.008638,0.108660,0.901899
17,3,1,1.355,0.079673,0.001940,0.084984,0.005364,0.114709,1.079940
18,8,1,1.538,0.058701,0.001196,0.056419,0.007838,0.145159,0.653696
19,9,1,2.224,0.077111,0.001665,0.079897,0.009376,0.138426,0.892770
20,6,1,1.908,0.080079,0.001914,0.119326,0.010236,0.185609,1.186650
21,8,1,2.410,0.090546,0.002327,0.087004,0.017173,0.171675,1.052869
22,7,1,2.732,0.078246,0.001401,0.070568,0.008066,0.118637,1.028380
23,9,1,2.644,0.067445,0.001622,0.062503,0.009698,0.129281,0.903985
24,9,1,1.950,0.063231,0.001108,0.061532,0.009108,0.112164,0.805208
25,9,1,3.007,0.084324,0.002116,0.098921,0.011156,0.169265,1.180145
26,9,1,2.414,0.121922,0.001923,0.091514,0.011377,0.172837,1.008075
27,9,1,2.764,0.087676,0.002094,0.081860,0.011876,0.152355,1.028037
28,8,1,1.800,0.069698,0.001662,0.094314,0.009830,0.162661,0.988124
29,9,1,1.699,0.049948,0.001397,0.059210,0.008696,0.113080,0.557999
30,5,1,0.932,0.046633,0.000827,0.032278,0.002375,0.043431,0.373096
31,8,1,1.498,0.051911,0.001224,0.051359,0.010168,0.089943,0.351633
32,6,1,0.855,0.186975,0.000728,0.040289,0.003684,0.057986,0.585050
33,6,1,1.173,0.051171,0.001235,0.056134,0.005828,0.091514,0.657591
34,7,1,0.708,0.028288,0.000674,0.026153,0.003357,0.045306,0.311599
35,9,1,1.298,0.041513,0.001119,0.040318,0.007430,0.086482,0.527349
