# period_ms=10 warmup=200 seen=5202 dropped=0 wall_s=52.081 verify_max_abs=0
seq,n_ue,qlen,t_ind_ms,t_q_ms,t_feat1_ms,t_inf1_ms,t_feat_ms,t_inf_ms,t_act_ms
0,8,1,2.130,0.083079,0.001266,0.200379,0.007854,0.320158,1.319076
1,8,1,1.693,0.066088,0.001182,0.109353,0.008105,0.231158,0.839711
2,7,1,3.002,0.124405,0.001775,0.207646,0.009884,0.358666,1.447086
3,7,1,2.191,0.097122,0.001836,0.135419,0.009444,0.269652,1.351879
4,8,1,1.616,0.059948,0.001025,0.100442,0.006434,0.193897,0.718485
5,8,1,1.587,0.062714,0.001214,0.104574,0.008141,0.228608,0.640872
6,9,1,2.660,0.083542,0.001328,0.119422,0.009460,0.291928,1.053291
7,9,1,2.378,0.097966,0.001467,0.121033,0.009516,0.306847,1.095597
8,5,1,2.054,0.089186,0.001854,0.161542,0.007737,0.266893,1.166051
9,8,1,1.753,0.073178,0.001217,0.114646,0.008595,0.248182,0.822521
10,4,1,1.724,0.094849,0.002180,0.209011,0.006633,0.291126,1.113122
11,9,1,2.204,0.062917,0.001400,0.127313,0.009167,0.287657,0.886910
12,3,1,1.269,0.122182,0.001659,0.212777,0.004864,0.283969,0.935005
13,9,1,2.399,0.108174,0.001556,0.210176,0.009670,0.379594,1.222468
14,5,1,1.500,0.064559,0.001196,0.199940,0.005567,0.282295,0.811448
15,7,1,1.499,0.082671,0.001284,0.117651,0.007902,0.242533,0.655672
16,9,1,1.615,0.040859,0.000814,0.083520,0.006878,0.181427,0.542512
17,3,1,0.831,0.040100,0.000930,0.071190,0.002354,0.098488,0.705768
18,8,1,0.861,0.056356,0.000784,0.054079,0.004267,0.109117,0.650329
19,9,1,0.746,0.021233,0.000974,0.055530,0.004093,0.105524,0.312246
20,6,1,1.365,0.069938,0.001035,0.165559,0.005407,0.244506,0.619122
21,8,1,1.483,0.061570,0.001109,0.075993,0.006840,0.179535,0.726975
22,7,1,1.547,0.057581,0.000995,0.095971,0.006112,0.179505,0.760844
23,9,1,1.737,0.054537,0.001327,0.093249,0.008750,0.225617,0.774209
24,9,1,1.648,0.047963,0.001134,0.071498,0.008135,0.191028,0.731550
25,9,1,0.891,0.024718,0.000530,0.032058,0.004409,0.093523,0.296229
26,9,1,0.849,0.022745,0.000574,0.049569,0.003088,0.099491,0.493397
27,9,1,1.622,0.072567,0.001380,0.099229,0.008034,0.216396,0.609696
28,8,1,1.518,0.063015,0.001049,0.095022,0.007470,0.213890,0.808295
29,9,1,1.742,0.073371,0.001177,0.079888,0.008736,0.209849,0.764123
30,5,1,1.122,0.061019,0.000976,0.074461,0.004374,0.138659,0.774934
31,8,1,1.436,0.066914,0.001074,0.075798,0.006828,0.187189,0.710818
32,6,1,0.798,0.037124,0.000562,0.048874,0.002633,0.080745,0.291619
33,6,1,0.623,0.032547,0.000509,0.040500,0.002584,0.072123,0.266594
34,7,1,0.675,0.020774,0.000429,0.044224,0.002895,0.086629,0.304674
35,9,1,1.575,0.066833,0.001174,0.080057,0.008396,0.195045,0.729773
36,9,1,1.354,0.022065,0.000779,0.048592,0.003330,0.136587,0.345384
37,4,1,1.056,0.065918,0.001043,0.081961,0.004555,0.131216,0.735304
38,9,1,0.804,0.028469,0.000620,0.046529,0.003693,0.097253,0.387411
39,6,1,1.087,0.026589,0.000533,0.035691,0.002610,0.067531,0.379799
40,9,1,1.530,0.056515,0.000954,0.070422,0.007568,0.185225,0.409250
41,9,1,0.818,0.027274,0.000563,0.052619,0.003748,0.102434,0.427698
42,7,1,1.243,0.063259,0.001070,0.072772,0.006314,0.252035,0.566249
43,7,1,1.339,0.059339,0.001107,0.070694,0.006063,0.159649,0.658261
44,11,1,1.550,0.108883,0.001350,0.104228,0.010879,0.374002,0.761021
45,8,1,1.452,0.054507,0.001412,0.099116,0.007413,0.215631,0.648050
46,5,1,0.860,0.034887,0.000535,0.055539,0.002136,0.082350,0.281596
47,8,1,0.920,0.043841,0.000602,0.075296,0.003743,0.119310,0.453549
48,9,1,1.006,0.051447,0.000845,0.081580,0.003945,0.130794,0.474322
