# period_ms=10 warmup=200 seen=5201 dropped=0 wall_s=52.072 verify_max_abs=0
seq,n_ue,qlen,t_ind_ms,t_q_ms,t_feat1_ms,t_inf1_ms,t_feat_ms,t_inf_ms,t_act_ms
0,8,1,2.224,0.110878,0.000986,0.161084,0.006755,0.361629,1.361765
1,8,1,1.926,0.047590,0.000920,0.087951,0.005800,0.250889,1.008372
2,7,1,2.003,0.083831,0.001306,0.112010,0.006874,0.238049,0.815724
3,7,1,2.077,0.057833,0.001461,0.110635,0.006857,0.222584,1.292071
4,8,1,2.978,0.081017,0.001434,0.111714,0.008253,0.228409,1.205965
5,8,1,2.176,0.052336,0.001089,0.089865,0.006893,0.189650,1.157391
6,9,1,2.732,0.082753,0.001504,0.109329,0.009449,0.238652,1.444978
7,9,1,2.393,0.078622,0.001324,0.103641,0.009135,0.369245,1.208149
8,5,1,1.473,0.070820,0.001214,0.103150,0.004736,0.212252,0.912411
9,8,1,1.835,0.054879,0.001240,0.077698,0.006656,0.172196,0.764813
10,4,1,1.311,0.057150,0.001252,0.103227,0.004269,0.220844,0.802902
11,9,1,2.136,0.060162,0.001490,0.125877,0.008754,0.477999,0.730733
12,3,1,1.228,0.072563,0.001518,0.109368,0.003394,0.189197,0.852794
13,9,1,2.264,0.062628,0.001267,0.113097,0.008844,0.429692,0.768361
14,5,1,1.406,0.062044,0.001342,0.110273,0.005118,0.269523,0.808633
15,7,1,1.987,0.062096,0.001308,0.115660,0.006810,0.378151,0.809884
16,9,1,2.353,0.066732,0.001601,0.118286,0.009630,0.427137,1.038558
17,3,1,1.208,0.072844,0.001858,0.149893,0.004380,0.388246,0.893561
18,8,1,2.229,0.067224,0.001537,0.131452,0.008697,0.395843,0.981967
19,9,1,2.250,0.057576,0.001205,0.112692,0.008595,0.399413,0.780440
20,6,1,1.724,0.061298,0.001615,0.129398,0.006500,0.384969,0.799091
21,8,1,2.001,0.057701,0.001431,0.121263,0.007776,0.413412,0.775285
22,7,1,1.840,0.081898,0.001379,0.113985,0.006970,0.340217,0.834880
23,9,1,2.082,0.053367,0.001446,0.136513,0.009296,0.419919,0.784469
24,9,1,2.252,0.065972,0.001580,0.154314,0.009592,0.350417,1.145176
25,9,1,2.302,0.075183,0.001629,0.127698,0.010238,0.304061,0.927068
26,9,1,2.031,0.126399,0.001327,0.124812,0.008269,0.261871,0.714756
27,9,1,0.604,0.043848,0.000719,0.028296,0.003929,0.130792,0.265209
28,8,1,0.609,0.024019,0.000434,0.040815,0.003327,0.135474,0.509295
29,9,1,0.659,0.041851,0.000611,0.040586,0.003584,0.137932,0.249363
30,5,1,0.467,0.023578,0.000416,0.036528,0.001606,0.079947,0.254217
31,8,1,0.564,0.024637,0.000480,0.032021,0.002747,0.131224,0.267540
32,6,1,0.486,0.039982,0.000462,0.038111,0.002280,0.107441,0.253116
33,6,1,0.542,0.023350,0.000555,0.041225,0.002019,0.108977,0.261232
34,7,1,0.829,0.029451,0.000461,0.050812,0.002846,0.140377,0.611351
35,9,1,1.081,0.027833,0.000398,0.030203,0.003365,0.112524,0.439444
36,9,1,0.827,0.019685,0.000482,0.041237,0.003443,0.119771,0.298396
37,4,1,0.847,0.040993,0.000805,0.062716,0.001764,0.081569,0.225720
38,9,1,1.108,0.029311,0.000459,0.034456,0.003248,0.072356,0.226696
39,6,1,0.975,0.017554,0.000420,0.031485,0.002411,0.060164,0.424108
40,9,1,0.811,0.027826,0.000497,0.036681,0.002646,0.075983,0.273856
41,9,1,1.411,0.030924,0.000516,0.048029,0.003087,0.124788,0.297148
42,7,1,0.932,0.057233,0.000623,0.058035,0.002794,0.119800,0.399373
43,7,1,0.824,0.024428,0.000650,0.049300,0.002666,0.104640,0.266673
44,11,1,1.327,0.035217,0.000834,0.056207,0.006562,0.224393,0.492610
45,8,1,1.224,0.037370,0.000878,0.070538,0.004988,0.344149,0.542857
46,5,1,0.964,0.039555,0.000902,0.100091,0.003483,0.210619,0.500683
47,8,1,1.649,0.064203,0.001048,0.105072,0.006485,0.374994,0.697400
48,9,1,1.896,0.076146,0.001373,0.125642,0.008239,0.419395,0.766141
49,9,1,1.893,0.046255,0.000965,0.088710,0.007043,0.352700,0.703345
50,8,1,1.746,0.045585,0.001114,0.097699,0.006719,0.380717,0.685747
51,10,1,2.564,0.102795,0.001581,0.143065,0.011136,0.493731,0.935691
52,6,1,1.842,0.078811,0.001603,0.121110,0.006762,0.347205,0.917823
53,6,1,1.381,0.071894,0.000964,0.098502,0.004536,0.249515,0.651897
54,4,1,0.633,0.037977,0.001090,0.077193,0.003073,0.162267,0.641687
55,9,1,1.995,0.051235,0.001232,0.104590,0.008605,0.445444,0.789922
56,6,1,1.696,0.068243,0.001482,0.172756,0.006390,0.422707,0.860520
57,8,1,2.216,0.100718,0.001429,0.116670,0.007701,0.345581,1.250425
58,9,1,1.751,0.080843,0.001147,0.108805,0.007198,0.255330,0.675939
59,8,1,1.062,0.035357,0.000692,0.073386,0.003652,0.147733,0.459831
60,7,1,1.286,0.047674,0.001054,0.085799,0.005031,0.169954,0.667477
61,7,1,1.695,0.065803,0.001283,0.136399,0.006194,0.278011,0.789944
62,10,1,2.639,0.113625,0.001823,0.197283,0.011400,0.688387,1.020689
63,7,1,2.244,0.159641,0.002003,0.172964,0.010305,0.613296,1.492516
64,6,1,1.603,0.052230,0.001189,0.098919,0.005288,0.262833,0.783689
65,8,1,0.896,0.030522,0.000545,0.041036,0.002983,0.132671,0.357742
66,4,1,1.208,0.031950,0.000694,0.060780,0.002398,0.138025,0.489972
67,9,1,1.358,0.044295,0.000837,0.134464,0.005389,0.340733,0.679286
68,8,1,1.504,0.050082,0.001024,0.101921,0.006355,0.371846,0.835905
69,2,1,0.879,0.097430,0.001252,0.111640,0.002304,0.159753,0.749126
70,7,1,1.292,0.072350,0.000978,0.076189,0.005162,0.220517,0.660317
71,9,1,1.530,0.039028,0.001206,0.081780,0.005927,0.212085,0.545472
72,7,1,1.246,0.045833,0.000791,0.068522,0.004496,0.150879,0.814167
73,9,1,1.676,0.080256,0.001119,0.081956,0.012260,0.182156,0.353477
74,9,1,1.632,0.057736,0.000975,0.068553,0.006650,0.165421,0.947464
75,8,1,1.622,0.058303,0.000937,0.066927,0.005951,0.140022,0.760177
76,5,1,1.137,0.065147,0.001226,0.071980,0.004222,0.179037,0.732078
77,8,1,1.550,0.043640,0.000986,0.079384,0.005455,0.234195,0.703679
78,9,1,0.658,0.026264,0.000481,0.033751,0.002771,0.070977,0.298091
79,3,1,0.927,0.065112,0.001164,0.071803,0.002563,0.128555,0.726939
80,7,1,1.277,0.051841,0.001215,0.099337,0.005733,0.313340,0.758811
81,9,1,1.853,0.080360,0.001064,0.120483,0.007232,0.432415,0.915044
82,8,1,1.627,0.074493,0.001083,0.108597,0.006532,0.342567,0.961201
83,7,1,1.525,0.065042,0.001117,0.094175,0.006705,0.301985,0.944521
84,9,1,2.133,0.082715,0.001169,0.117877,0.008124,0.452169,0.880317
85,7,1,2.319,0.137776,0.001456,0.152365,0.008392,0.424932,1.030497
86,8,1,2.612,0.131178,0.002058,0.158679,0.011171,0.478915,1.372934
87,9,1,2.387,0.077104,0.001530,0.134528,0.010407,0.522514,0.849907
88,9,1,2.856,0.132115,0.001848,0.179839,0.011291,0.727101,1.117807
89,9,1,2.370,0.102606,0.001568,0.129760,0.009776,0.522071,1.010974
90,8,1,2.060,0.087303,0.001440,0.142146,0.008498,0.539959,1.101107
91,6,1,1.757,0.082570,0.001501,0.168744,0.006735,0.437800,1.039687
92,9,1,3.071,0.107979,0.001889,0.318022,0.011225,0.724407,1.003900
93,8,1,2.106,0.107613,0.001742,0.132612,0.008781,0.287606,0.938427
94,9,1,2.826,0.102470,0.001392,0.109096,0.009510,0.262942,1.080559
95,9,1,2.532,0.086211,0.001876,0.136212,0.009748,0.305583,0.915224
96,9,1,2.573,0.107677,0.001612,0.148511,0.010268,0.413023,1.080314
97,9,1,2.361,0.086534,0.001571,0.147402,0.009785,0.497871,0.998677
98,7,1,2.149,0.094431,0.001732,0.198955,0.008362,0.502363,1.163854
99,9,1,3.137,0.077194,0.001559,0.158915,0.010664,0.557101,1.143410
100,9,1,2.481,0.083389,0.001529,0.154732,0.009608,0.555636,1.061967
101,8,1,2.538,0.079134,0.001561,0.151437,0.009494,0.490333,1.074600
102,9,1,2.133,0.080720,0.001215,0.158537,0.008387,0.507412,1.012746
103,9,1,2.790,0.069529,0.001411,0.154876,0.010240,0.550298,1.044045
104,3,1,1.598,0.097767,0.001934,0.203999,0.004679,0.302561,1.319768
105,7,1,2.594,0.094156,0.001667,0.158049,0.008884,0.396684,1.153452
106,8,1,2.548,0.123928,0.001753,0.176857,0.009908,0.359898,1.318607
107,8,1,2.119,0.064557,0.001488,0.116767,0.008313,0.244240,1.030220
108,6,1,1.582,0.119142,0.001414,0.100085,0.005706,0.191818,0.760915
109,8,1,1.928,0.086702,0.001267,0.129419,0.007004,0.232765,0.823773
110,7,1,1.342,0.068899,0.000927,0.073399,0.005095,0.146117,0.686212
111,5,1,0.861,0.038186,0.000805,0.058654,0.003078,0.115313,0.486736
112,8,1,0.586,0.018629,0.000584,0.026460,0.002656,0.074494,0.210109
113,8,1,1.277,0.054562,0.001051,0.069376,0.005409,0.225991,0.629452
114,9,1,1.502,0.043571,0.000774,0.066145,0.005333,0.262246,0.614135
115,6,1,0.969,0.037452,0.000755,0.081416,0.003581,0.222310,0.524633
116,9,1,1.466,0.045131,0.001044,0.086902,0.006920,0.328398,0.619524
117,9,1,1.423,0.098510,0.000910,0.072340,0.006654,0.304414,0.736216
118,7,1,1.195,0.060353,0.000959,0.063385,0.005097,0.206951,0.624955
119,9,1,1.483,0.050476,0.000850,0.067210,0.006332,0.328927,0.683559
120,9,1,1.499,0.056900,0.000951,0.060853,0.005804,0.248642,0.649186
121,7,1,1.112,0.056040,0.001019,0.058928,0.005008,0.259688,0.586264
