# period_ms=10 warmup=200 seen=5200 dropped=0 wall_s=52.068 verify_max_abs=0
seq,n_ue,qlen,t_ind_ms,t_q_ms,t_feat1_ms,t_inf1_ms,t_feat_ms,t_inf_ms,t_act_ms
0,8,1,2.544,0.070039,0.001340,0.165412,0.008478,0.207004,0.926662
1,8,1,2.393,0.096566,0.001385,0.063100,0.007619,0.101426,0.918959
2,7,1,2.350,0.078841,0.001765,0.102373,0.008103,0.140774,1.131619
3,7,1,1.558,0.066118,0.001330,0.058507,0.006216,0.088462,0.866266
4,8,1,1.944,0.066859,0.001211,0.060026,0.006731,0.093212,0.800646
5,8,1,1.505,0.068930,0.000987,0.051562,0.005865,0.078860,0.745171
6,9,1,0.741,0.025191,0.000456,0.022806,0.003034,0.036502,0.305001
7,9,1,0.854,0.043901,0.001315,0.036489,0.003611,0.049949,0.307887
8,5,1,0.567,0.022632,0.000533,0.032376,0.001739,0.039675,0.250565
9,8,1,0.646,0.027559,0.000588,0.041005,0.003141,0.052323,0.310449
10,4,1,0.664,0.026493,0.000676,0.037033,0.001796,0.042395,0.459224
11,9,1,0.626,0.020201,0.000568,0.029333,0.003390,0.041733,0.237399
12,3,1,0.513,0.037158,0.000528,0.038303,0.001064,0.042639,0.320956
13,9,1,0.859,0.023981,0.000638,0.037396,0.003444,0.053304,0.486191
14,5,1,0.666,0.028650,0.000628,0.036027,0.002123,0.044504,0.432817
15,7,1,0.758,0.026297,0.000578,0.039557,0.002442,0.049561,0.315473
16,9,1,0.738,0.028148,0.000575,0.032378,0.002980,0.044921,0.501632
17,3,1,0.497,0.070395,0.000736,0.051586,0.001452,0.055948,0.540244
18,8,1,0.633,0.021706,0.000688,0.032214,0.003287,0.043131,0.345237
19,9,1,1.216,0.023808,0.000633,0.038356,0.002834,0.050409,0.365460
20,6,1,0.533,0.024614,0.000633,0.040897,0.002638,0.051205,0.412317
21,8,1,1.059,0.034777,0.000797,0.042612,0.004267,0.061668,0.479495
22,7,1,0.762,0.032459,0.000752,0.045326,0.002707,0.056115,0.362940
23,9,1,0.763,0.024132,0.000559,0.035705,0.002794,0.048330,0.329118
24,9,1,1.199,0.050791,0.000618,0.036448,0.002870,0.048620,0.392904
25,9,1,0.639,0.021388,0.000534,0.027547,0.002882,0.039587,0.289349
26,9,1,0.663,0.021849,0.000566,0.024703,0.002777,0.036987,0.275571
27,9,1,0.621,0.024002,0.000615,0.026145,0.003421,0.038924,0.369485
28,8,1,0.715,0.032485,0.000573,0.039874,0.003112,0.051370,0.345396
29,9,1,0.722,0.023663,0.000575,0.036350,0.003037,0.049362,0.275808
30,5,1,0.507,0.022671,0.000571,0.032656,0.001802,0.039481,0.267143
31,8,1,0.671,0.025055,0.000482,0.033119,0.002658,0.044200,0.247711
32,6,1,0.522,0.020115,0.000546,0.034293,0.002335,0.044891,0.364374
33,6,1,0.702,0.046691,0.000520,0.042154,0.001988,0.050451,0.422391
34,7,1,1.400,0.034076,0.000540,0.048297,0.002406,0.058975,0.385174
35,9,1,0.770,0.024271,0.000642,0.039286,0.002971,0.051855,0.318478
36,9,1,0.731,0.025153,0.000558,0.034870,0.002825,0.047425,0.333891
37,4,1,0.604,0.033972,0.000620,0.032188,0.001892,0.038199,0.336741
38,9,1,0.670,0.024802,0.000549,0.032470,0.003205,0.046580,0.424813
39,6,1,0.992,0.023545,0.000674,0.036314,0.002518,0.047181,0.385462
40,9,1,0.667,0.028287,0.000739,0.030253,0.002998,0.042453,0.242697
41,9,1,0.805,0.021842,0.000545,0.041716,0.002962,0.054636,0.390676
42,7,1,0.807,0.039532,0.000680,0.045058,0.002553,0.055268,0.429963
43,7,1,0.780,0.026886,0.000655,0.041714,0.002588,0.051713,0.305191
44,11,1,0.743,0.022808,0.000598,0.038217,0.003447,0.053773,0.326294
45,8,1,0.692,0.024831,0.000585,0.040053,0.002537,0.051273,0.297677
46,5,1,0.820,0.040233,0.000744,0.041682,0.002410,0.052401,0.398615
47,8,1,1.497,0.053979,0.000934,0.046852,0.005927,0.076042,0.788611
48,9,1,0.665,0.024829,0.000542,0.031807,0.002807,0.044430,0.257667
49,9,1,0.717,0.032055,0.000481,0.020889,0.002902,0.033973,0.239560
50,8,1,0.634,0.028760,0.000482,0.034134,0.002458,0.045046,0.321953
51,10,1,0.689,0.023425,0.000575,0.034272,0.003037,0.047950,0.246904
52,6,1,0.636,0.031395,0.000541,0.040693,0.002084,0.049517,0.426293
53,6,1,0.545,0.026521,0.000673,0.034285,0.002154,0.042698,0.246607
54,4,1,0.434,0.027205,0.000675,0.038743,0.001883,0.044051,0.317755
55,9,1,0.790,0.031269,0.000562,0.046611,0.002833,0.059801,0.367658
56,6,1,0.637,0.043434,0.000708,0.047878,0.002204,0.056639,0.395898
57,8,1,0.689,0.040674,0.000610,0.040307,0.002692,0.051893,0.331412
58,9,1,0.793,0.024510,0.000615,0.046755,0.002841,0.059403,0.501636
59,8,1,0.689,0.026355,0.000594,0.039267,0.002643,0.050685,0.337656
60,7,1,0.589,0.023081,0.000470,0.028945,0.002182,0.038568,0.245346
61,7,1,0.684,0.030738,0.000658,0.037359,0.002661,0.047323,0.447863
62,10,1,1.207,0.047069,0.000972,0.046380,0.005474,0.070981,0.560231
63,7,1,0.995,0.037586,0.000908,0.037736,0.004400,0.056835,0.511894
64,6,1,1.092,0.054658,0.001007,0.041541,0.004407,0.061760,0.580562
65,8,1,1.786,0.063421,0.001100,0.106686,0.006530,0.143025,0.737121
66,4,1,0.845,0.037360,0.000644,0.029514,0.002074,0.037942,0.471569
67,9,1,1.123,0.032945,0.000681,0.039173,0.004491,0.061254,0.422853
68,8,1,0.530,0.020096,0.000495,0.018418,0.002648,0.029725,0.232933
69,2,1,0.329,0.094041,0.000516,0.015650,0.000850,0.017674,0.247710
70,7,1,0.518,0.024680,0.000640,0.023202,0.002383,0.032733,0.252118
71,9,1,0.694,0.021143,0.000529,0.025495,0.002828,0.039005,0.230812
72,7,1,0.541,0.021841,0.000491,0.015576,0.002444,0.024994,0.221681
73,9,1,0.761,0.028776,0.000608,0.034735,0.002938,0.046948,0.286626
74,9,1,0.822,0.020774,0.000535,0.031793,0.002987,0.044734,0.378339
75,8,1,0.942,0.034128,0.000473,0.019263,0.003130,0.029703,0.440125
76,5,1,0.723,0.028060,0.000477,0.021986,0.001939,0.030391,0.317501
77,8,1,1.247,0.041893,0.000891,0.031582,0.004852,0.055531,0.470393
78,9,1,1.588,0.051233,0.000970,0.039992,0.006017,0.070464,0.623434
79,3,1,1.112,0.068650,0.001246,0.053917,0.003155,0.066624,0.820637
80,7,1,2.275,0.084808,0.001560,0.068530,0.008163,0.107622,1.029836
81,9,1,1.676,0.054686,0.001022,0.045580,0.006742,0.079956,0.815169
82,8,1,2.241,0.073907,0.001365,0.062242,0.008296,0.101475,0.879850
83,7,1,2.043,0.065371,0.001379,0.062136,0.007439,0.097866,0.865093
84,9,1,1.909,0.060622,0.001267,0.053702,0.008344,0.094849,0.829222
85,7,1,2.552,0.100704,0.001696,0.082094,0.009007,0.124004,1.125104
86,8,1,1.442,0.037883,0.000997,0.037570,0.006073,0.066076,0.283535
87,9,1,1.391,0.043629,0.000948,0.039020,0.007271,0.070331,0.629377
88,9,1,1.360,0.041609,0.000910,0.035257,0.005749,0.063980,0.521666
89,9,1,1.462,0.058279,0.001005,0.041367,0.006404,0.072001,0.743653
90,8,1,1.248,0.055648,0.001163,0.042379,0.006008,0.071186,0.591238
91,6,1,0.968,0.036043,0.000587,0.024632,0.002664,0.037455,0.338122
92,9,1,1.607,0.089298,0.000969,0.079875,0.004124,0.117678,0.930115
93,8,1,1.196,0.042292,0.000816,0.054558,0.003727,0.072110,0.565757
94,9,1,1.400,0.045733,0.001129,0.056356,0.006330,0.085786,0.674745
95,9,1,0.996,0.037107,0.000820,0.039156,0.004387,0.059602,0.406289
96,9,1,1.578,0.049310,0.001019,0.050220,0.007481,0.083323,1.085661
97,9,1,1.191,0.055228,0.000951,0.047512,0.004630,0.068797,0.746520
98,7,1,1.564,0.062091,0.001190,0.077281,0.005663,0.104765,0.772343
99,9,1,1.824,0.055040,0.001245,0.061752,0.008469,0.098863,0.823251
100,9,1,1.680,0.050666,0.001088,0.045882,0.007923,0.083999,0.662022
101,8,1,0.718,0.022838,0.000540,0.024826,0.003037,0.038973,0.265972
102,10,1,1.383,0.035877,0.001048,0.043099,0.006742,0.078675,0.516694
103,9,1,1.334,0.039912,0.000904,0.042396,0.005986,0.071312,0.539015
104,3,1,0.882,0.049212,0.000844,0.032467,0.002035,0.039736,0.715449
105,7,1,1.584,0.065232,0.000995,0.043076,0.005001,0.066311,1.060582
106,8,1,1.700,0.072277,0.001230,0.060502,0.007251,0.097883,0.790676
107,8,1,1.911,0.081207,0.001196,0.068891,0.008523,0.106675,0.943289
108,6,1,1.635,0.060102,0.001228,0.058667,0.006030,0.086732,0.776971
109,8,1,2.541,0.081348,0.001580,0.068996,0.009388,0.112317,0.996681
110,7,1,1.990,0.082051,0.001383,0.060619,0.007146,0.094791,0.904118
111,5,1,1.595,0.067488,0.001288,0.056009,0.005149,0.077993,0.975878
