# period_ms=10 warmup=200 seen=5201 dropped=0 wall_s=52.072 verify_max_abs=0
seq,n_ue,qlen,t_ind_ms,t_q_ms,t_feat1_ms,t_inf1_ms,t_feat_ms,t_inf_ms,t_act_ms
0,8,1,1.009,0.027570,0.000607,0.072180,0.003119,0.131895,0.529773
1,8,1,0.817,0.032578,0.000692,0.046764,0.004156,0.125051,0.401539
2,7,1,3.376,0.092415,0.001819,0.161861,0.008420,0.328582,1.590965
3,7,1,1.881,0.068959,0.001395,0.103175,0.006539,0.219444,1.243068
4,8,1,2.479,0.082940,0.001558,0.095386,0.008305,0.228370,0.948984
5,8,1,2.078,0.089509,0.001905,0.103354,0.008908,0.221367,0.976843
6,9,1,3.205,0.077862,0.001721,0.113545,0.009455,0.251999,1.161720
7,9,1,2.176,0.073608,0.001567,0.102163,0.009223,0.296956,0.988579
8,5,1,1.189,0.068215,0.001148,0.168781,0.004177,0.255156,0.698241
9,8,1,1.619,0.055020,0.001318,0.088758,0.006680,0.238211,0.725427
10,4,1,1.486,0.070628,0.001421,0.091195,0.004366,0.184586,0.957148
11,9,1,2.661,0.093055,0.001586,0.101466,0.009257,0.391854,0.993043
12,3,1,1.424,0.157713,0.001902,0.142047,0.004468,0.228255,1.227428
13,9,1,1.532,0.037913,0.000803,0.072827,0.005435,0.238037,0.604921
14,5,1,0.895,0.052611,0.000792,0.057761,0.002878,0.131665,0.529638
15,7,1,0.893,0.033291,0.000922,0.054078,0.003937,0.157562,0.421275
16,9,1,1.504,0.048136,0.000878,0.073942,0.005372,0.222843,0.628743
17,3,1,0.939,0.057225,0.001256,0.074965,0.002884,0.120915,0.685551
18,8,1,2.549,0.116177,0.001780,0.116167,0.009256,0.341808,1.148670
19,9,1,2.176,0.077803,0.001238,0.088759,0.007708,0.283593,0.868579
20,6,1,1.406,0.060559,0.001181,0.084281,0.005046,0.213721,0.680204
21,8,1,1.016,0.035694,0.000759,0.049615,0.004317,0.165336,0.453158
22,7,1,1.317,0.048175,0.001070,0.070964,0.005407,0.200644,0.698727
23,9,1,1.820,0.069235,0.000973,0.064077,0.006245,0.223058,0.693115
24,9,1,1.597,0.066883,0.001177,0.056573,0.006785,0.147302,0.618617
25,9,1,1.303,0.036740,0.000632,0.034429,0.003806,0.130031,0.718033
26,9,1,1.658,0.065263,0.000994,0.070886,0.006602,0.181699,0.679862
27,9,1,1.648,0.068160,0.001026,0.057542,0.006630,0.232141,0.655772
28,8,1,1.498,0.049667,0.000983,0.057683,0.005749,0.208616,0.553671
29,9,1,1.542,0.064802,0.001089,0.054153,0.006319,0.220241,0.531355
30,5,1,1.434,0.059806,0.001105,0.076607,0.003941,0.164875,0.716874
31,8,1,1.574,0.071667,0.001067,0.092851,0.005944,0.249588,0.823308
32,6,1,1.239,0.123028,0.001072,0.075642,0.004586,0.188885,0.646504
33,6,1,1.372,0.069109,0.001208,0.080431,0.004814,0.203345,0.891511
34,7,1,1.416,0.045628,0.000978,0.054564,0.004880,0.189977,0.707852
35,9,1,1.557,0.063731,0.000953,0.055398,0.006181,0.206601,0.703517
36,9,1,1.531,0.042809,0.000959,0.048550,0.005938,0.177191,0.638242
37,4,1,0.813,0.045860,0.000997,0.045521,0.002968,0.087802,0.495165
38,9,1,1.481,0.052615,0.000922,0.066412,0.005757,0.162015,0.596807
39,6,1,0.498,0.023404,0.000665,0.033450,0.002024,0.062003,0.258229
40,9,1,1.543,0.058880,0.000922,0.067846,0.004092,0.126658,0.299627
41,9,1,0.714,0.024087,0.000493,0.036890,0.002885,0.098182,0.327505
42,7,1,0.665,0.019313,0.000606,0.035667,0.002167,0.079191,0.299485
43,7,1,0.522,0.016175,0.000464,0.021688,0.002107,0.059149,0.285271
44,11,1,1.385,0.049086,0.000939,0.060933,0.006959,0.225586,0.570245
45,8,1,0.573,0.029452,0.000494,0.023612,0.002565,0.086136,0.319148
46,5,1,0.972,0.017590,0.000451,0.029753,0.001671,0.068269,0.233433
47,8,1,1.302,0.055819,0.000947,0.074973,0.003124,0.138494,0.298981
48,9,1,1.586,0.052952,0.000989,0.070017,0.006465,0.264338,0.592654
49,9,1,1.516,0.071031,0.001071,0.056630,0.006439,0.235037,0.714498
50,8,1,1.680,0.045568,0.000989,0.059847,0.005744,0.216061,0.907362
51,10,1,0.923,0.028730,0.000571,0.030321,0.004648,0.131651,0.336284
52,6,1,0.624,0.028388,0.000796,0.038020,0.002235,0.086083,0.364929
53,6,1,0.543,0.022873,0.000441,0.026698,0.001938,0.069971,0.350387
54,4,1,0.460,0.023243,0.000473,0.024938,0.001339,0.051659,0.359190
55,9,1,0.755,0.020462,0.000635,0.023255,0.003119,0.099267,0.340917
56,6,1,0.535,0.016108,0.000647,0.022364,0.002026,0.065593,0.377550
57,8,1,0.630,0.025163,0.000629,0.025317,0.003203,0.083941,0.586771
58,9,1,0.663,0.019214,0.000465,0.021981,0.002726,0.057727,0.416391
59,8,1,0.741,0.039626,0.000675,0.037159,0.003839,0.083551,0.427507
60,7,1,0.633,0.024298,0.000524,0.032164,0.002135,0.063132,0.435641
61,7,1,1.411,0.049985,0.000849,0.051031,0.004605,0.113640,0.760267
62,10,1,1.533,0.023372,0.000788,0.051687,0.006410,0.233451,0.569729
63,7,1,0.536,0.019468,0.000598,0.032318,0.002280,0.082308,0.273670
64,6,1,1.150,0.061154,0.000907,0.120028,0.004039,0.224311,0.570764
65,8,1,1.431,0.064256,0.001056,0.062493,0.005605,0.208666,0.629568
66,4,1,1.054,0.065766,0.000950,0.063029,0.003105,0.134477,0.745244
67,9,1,1.250,0.043010,0.000972,0.064801,0.005359,0.218510,0.500652
68,8,1,1.639,0.077056,0.001352,0.092199,0.006664,0.271848,0.721458
69,2,1,0.792,0.088980,0.001306,0.065293,0.002053,0.090423,0.621699
70,7,1,1.503,0.056861,0.001002,0.072398,0.005174,0.194181,0.766350
71,9,1,3.127,0.246426,0.001874,0.113455,0.011064,0.396378,1.055346
72,7,1,1.588,0.084050,0.001247,0.068762,0.006297,0.174443,0.879630
73,9,1,2.945,0.099667,0.001741,0.116017,0.010862,0.370074,0.997169
74,9,1,3.031,0.133376,0.001796,0.102487,0.011058,0.262059,0.950315
75,8,1,2.533,0.109464,0.001921,0.129329,0.010287,0.297058,1.174584
76,5,1,1.970,0.088526,0.001986,0.266633,0.007405,0.436917,1.239982
77,8,1,2.594,0.109772,0.002303,0.126138,0.010656,0.368849,1.337679
78,9,1,2.462,0.079037,0.001571,0.097353,0.009751,0.252401,0.971544
79,3,1,1.468,0.162074,0.001909,0.128417,0.004483,0.211322,1.301038
80,7,1,2.619,0.096504,0.002005,0.156654,0.009197,0.400830,1.075833
81,9,1,2.812,0.102102,0.001803,0.122689,0.011192,0.545061,1.036335
82,8,1,2.060,0.074553,0.001389,0.085786,0.008859,0.330054,1.014543
