file,site,group,n,attack_types,src_top,dst_top,proto_top,t_first,t_last
1,1,attack,10019,"{""SYNScan"": 10019}","{""10.155.15.1"": 10019}","{""10.41.150.68"": 10019}","{""tcp"": 10009, ""icmp"": 10}",30:16.8,36:59.2
1,1,benign_other,1431,"{""Benign"": 1431}","{""10.50.150.200"": 511, ""109.105.109.206"": 407, ""10.155.15.9"": 122}","{""10.155.15.1"": 511, ""10.155.15.4"": 104, ""10.155.15.10"": 104}","{""udp"": 765, ""icmp"": 511, ""tcp"": 88}",30:02.6,38:44.9
2,1,attack,10022,"{""TCPConnectScan"": 10022}","{""10.155.15.1"": 10022}","{""10.41.150.68"": 10022}","{""tcp"": 10012, ""icmp"": 10}",01:31.0,58:42.8
2,1,benign_other,1623,"{""Benign"": 1623}","{""10.50.150.200"": 573, ""109.105.109.206"": 459, ""10.155.15.9"": 136}","{""10.155.15.1"": 573, ""10.155.15.4"": 117, ""10.155.15.10"": 116}","{""udp"": 879, ""icmp"": 573, ""tcp"": 95}",00:00.2,59:59.8
3,1,attack,7887,"{""UDPScan"": 7887}","{""10.155.15.9"": 7887}","{""10.41.150.68"": 7887}","{""udp"": 7862, ""tcp"": 17, ""icmp"": 8}",28:45.1,37:29.9
3,1,benign_other,2156,"{""Benign"": 2156}","{""10.50.150.200"": 1154, ""109.105.109.206"": 455, ""10.155.15.2"": 136}","{""10.155.15.6"": 700, ""10.155.15.1"": 684, ""10.155.15.5"": 114}","{""icmp"": 1154, ""udp"": 847, ""tcp"": 77}",28:31.1,38:14.9
4,1,attack,613,"{""ICMPFlood"": 613}","{""10.155.15.9"": 613}","{""10.41.150.68"": 613}","{""icmp"": 613}",00:00.6,59:59.6
4,1,benign_other,17666,"{""Benign"": 17666}","{""10.255.248.200"": 11211, ""10.50.150.200"": 3104, ""109.105.109.206"": 1168}","{""10.41.150.66"": 11440, ""10.155.15.1"": 1909, ""10.155.15.6"": 1811}","{""udp"": 13428, ""icmp"": 3106, ""tcp"": 903}",00:00.3,59:59.6
5,1,attack,175811,"{""UDPFlood"": 175811}","{""10.155.15.4"": 175811}","{""10.41.150.68"": 175811}","{""udp"": 175811}",00:00.9,59:59.9
5,1,benign_copy,281525,"{""Benign"": 281525}","{""10.155.15.7"": 281525}","{""10.41.150.68"": 281525}","{""udp"": 281525}",03:49.0,13:32.4
5,1,benign_other,10381,"{""Benign"": 10381}","{""10.50.150.200"": 3374, ""109.105.109.206"": 2672, ""10.155.15.2"": 651}","{""10.155.15.6"": 2023, ""10.155.15.1"": 2021, ""10.41.150.66"": 613}","{""udp"": 5819, ""icmp"": 3376, ""tcp"": 578}",00:00.3,59:59.5
6,1,attack,4792,"{""SYNFlood"": 4792}","{""10.155.15.4"": 4792}","{""10.41.150.68"": 4792}","{""tcp"": 4792}",44:27.5,52:34.6
