model,split_seed,benign,benign__n,dos,dos__n,probe,probe__n
majority,101,0.0,82943,1.0,207952,1.0,55987
stratified,101,0.061222767442701616,82943,0.9388320381626529,207952,0.9380570489577937,55987
logreg,101,0.701011538044199,82943,0.22482111256443796,207952,0.7142729562219801,55987
tree,101,0.16647577251847653,82943,0.7818006078325768,207952,0.28372657938449997,55987
rf,101,0.17059908611938318,82943,0.7714713010694776,207952,0.2840480825906014,55987
xgboost,101,0.193421988594577,82943,0.7490334307917211,207952,0.28347652133531,55987
hgb,101,0.17439687496232353,82943,0.7719329460644764,207952,0.2812438601818279,55987
mlp,101,0.17829111558540203,82943,0.7710337000846349,207952,0.28247628913855,55987
majority,102,0.0,82943,1.0,207952,1.0,55987
stratified,102,0.06082490384963168,82943,0.939178271908902,207952,0.9383964134531231,55987
logreg,102,0.8727318761076884,82943,0.1519292913749327,207952,0.7145587368496258,55987
tree,102,0.20685289897881678,82943,0.6420231591905824,207952,0.6408451962062621,55987
rf,102,0.13541829931398672,82943,0.7808244210202354,207952,0.6407201671816671,55987
xgboost,102,0.1708884414597977,82943,0.7778814341771177,207952,0.2841373890367407,55987
hgb,102,0.17038206961407232,82943,0.7777083173039933,207952,0.2831371568399807,55987
mlp,102,0.1699721495484851,82943,0.7773957451719627,207952,0.6393627092003501,55987
majority,103,0.0,82943,1.0,207952,1.0,55987
stratified,103,0.05558033830461884,82943,0.9445400861737324,207952,0.9438798292460749,55987
logreg,103,0.8513678068070843,82943,0.16887070093098408,207952,0.7164520335077786,55987
tree,103,0.23226794304522383,82943,0.6367094329460645,207952,0.6397913801418187,55987
rf,103,0.14866836261046742,82943,0.7868017619450642,207952,0.6399699930340972,55987
xgboost,103,0.17367348661128726,82943,0.7776409940755559,207952,0.6401843285048314,55987
hgb,103,0.17505998095077344,82943,0.7779391398014927,207952,0.6400414381910087,55987
mlp,103,0.17199763693138662,82943,0.7774774948064938,207952,0.6403808026863379,55987
majority,104,0.0,82943,1.0,207952,1.0,55987
stratified,104,0.07362887766297337,82943,0.9261271831961222,207952,0.925964956150535,55987
logreg,104,0.8969412729223684,82943,0.1303185350465492,207952,0.7164520335077786,55987
tree,104,0.18342717287775942,82943,0.6536652689082096,207952,0.0014289031382285174,55987
rf,104,0.18382503647082937,82943,0.6989930368546587,207952,0.2782967474592316,55987
xgboost,104,0.19073339522322558,82943,0.6993969762252827,207952,0.6341829353242717,55987
hgb,104,0.17930385927685277,82943,0.7552704470262368,207952,0.6342365191919552,55987
mlp,104,0.19535102419734035,82943,0.7439216742325152,207952,0.6369157125761338,55987
majority,105,0.0,82943,1.0,207952,1.0,55987
