model,split_seed,domain,n_train,n_eval,train_prevalence,threshold,tp,fp,tn,fn,accuracy,balanced_accuracy,precision,recall,f1,f1_macro,mcc,fpr,fnr,tnr,roc_auc,pr_auc,pr_auc_benign,brier
majority,101,source_heldout,150920,149080,0.9384177047442354,0.5,142326,6754,0,0,0.9546954655218675,0.5,0.9546954655218675,1.0,0.9768227147004523,0.48841135735022617,0.0,1.0,0.0,0.0,0.5,0.9546954655218675,0.04530453447813255,0.04530453447813255
majority,101,target,150920,346882,0.9384177047442354,0.5,263939,82943,0,0,0.7608898703305447,0.5,0.7608898703305447,1.0,0.8642106279908517,0.43210531399542584,0.0,1.0,0.0,0.0,0.5,0.7608898703305447,0.23911012966945533,0.23911012966945533
stratified,101,source_heldout,150920,149080,0.9384177047442354,0.5,133581,6350,404,8745,0.8987456399248726,0.4991864791791587,0.9546204915279674,0.9385565532650394,0.9465203697339658,0.49866419668865175,-0.0014098650205466698,0.940183594906722,0.061443446734960584,0.059816405093278055,0.4991864791791587,0.954625098188568,0.04523594282569819,0.10125436007512745
stratified,101,target,150920,346882,0.9384177047442354,0.5,247751,77865,5078,16188,0.7288616878362094,0.49994520706689655,0.7608686305341261,0.9386676466910915,0.8404678104672167,0.46896290176941624,-0.00019485000656902619,0.9387772325572984,0.061332353308908495,0.061222767442701616,0.49994520706689655,0.7608699332208243,0.23909021912049774,0.2711383121637906
logreg,101,source_heldout,150920,149080,0.9384177047442354,0.5,125952,1814,4940,16374,0.8779983901261068,0.8081863393266434,0.9858021695912841,0.8849542599384511,0.9326599825244731,0.6423311313505934,0.3662063747971169,0.26858158128516435,0.11504574006154884,0.7314184187148357,0.8411695266358331,0.9856086474956434,0.4382991049123335,0.09262054539987807
logreg,101,target,150920,346882,0.9384177047442354,0.5,86742,24799,58144,177197,0.4176809404927324,0.514827828285793,0.7776691978734277,0.328644118527387,0.462032598274209,0.41369591859645527,0.027082149599421207,0.298988461955801,0.6713558814726129,0.701011538044199,0.47685026308107237,0.7912640758031794,0.21951869570038723,0.41925457881814754
tree,101,source_heldout,150920,149080,0.9384177047442354,0.5,121374,1201,5553,20952,0.8514019318486719,0.8374840587419513,0.990201917193555,0.8527886682686228,0.9163725316250222,0.625148591799462,0.3671479046764612,0.17782055078472017,0.14721133173137727,0.8221794492152799,0.8581824317868618,0.987698317243395,0.3731949858176612,0.1403472128618519
tree,101,target,150920,346882,0.9384177047442354,0.5,178462,69135,13808,85477,0.5542807064073662,0.42131221403952085,0.7207760998719693,0.6761486555605651,0.6977495230052235,0.4246479686936033,-0.1485129980728488,0.8335242274815234,0.32385134443943486,0.16647577251847653,0.3954875522569013,0.7174715140014476,0.22430045388091588,0.4354243584736883
rf,101,source_heldout,150920,149080,0.9384177047442354,0.5,129185,1247,5507,13141,0.9034880601019587,0.8615191932108168,0.9904394627085378,0.9076697160041033,0.9472499431730692,0.6904189248185636,0.4545438622352622,0.18463132958246964,0.09233028399589674,0.8153686704175304,0.9541864263115873,0.9976440038410187,0.5371788525713688,0.07627344412885477
rf,101,target,150920,346882,0.9384177047442354,0.5,176332,68793,14150,87607,0.5491262158313202,0.41933884759596707,0.7193554309026007,0.6680786090725509,0.692769474957962,0.42299545756560797,-0.15113328448310315,0.8294009138806168,0.33192139092744916,0.17059908611938318,0.4324617273014026,0.7745646305699829,0.19861775867453285,0.36139226146785147
xgboost,101,source_heldout,150920,149080,0.9384177047442354,0.5,124417,194,6560,17909,0.8785685537966192,0.9227227208314556,0.9984431550986671,0.8741691609403763,0.9321824999906345,0.6761927777152673,0.4747029558093019,0.028723719277465205,0.12583083905962367,0.9712762807225348,0.958468867081983,0.9979532407444678,0.6057486740393568,0.10505769401788712
xgboost,101,target,150920,346882,0.9384177047442354,0.5,171634,66900,16043,92305,0.5410398925282949,0.4218505151714299,0.7195368375158259,0.6502790417482828,0.6831571049588734,0.4254455404715534,-0.14385076416522377,0.806578011405423,0.34972095825171723,0.193421988594577,0.43049934777916,0.7460087151832558,0.2071836356846683,0.4007478654384613
hgb,101,source_heldout,150920,149080,0.9384177047442354,0.5,124430,302,6452,17896,0.877931312047223,0.9147731285648498,0.997578808966424,0.8742605005410115,0.9318574991200413,0.6733752160251998,0.4667052310508685,0.04471424341131182,0.12573949945898852,0.9552857565886882,0.9613642191344648,0.9980953881074065,0.6139003246386598,0.10549830656021358
hgb,101,target,150920,346882,0.9384177047442354,0.5,176271,68478,14465,87668,0.5498584533068882,0.42112218501373555,0.7202113185344986,0.6678474950651476,0.6930417072940585,0.4246779350622316,-0.14763285316468036,0.8256031250376765,0.3321525049348524,0.17439687496232353,0.33299245755746454,0.6869999034989444,0.17949133699889902,0.4183504538749896
mlp,101,source_heldout,150920,149080,0.9384177047442354,0.5,125257,990,5764,17069,0.8788636973437081,0.8667456499028862,0.9921582295024832,0.8800711043660329,0.9327594359820235,0.6611950084902175,0.42357039238132044,0.1465798045602606,0.1199288956339671,0.8534201954397395,0.9414638873853567,0.9967978727686665,0.5219696390129017,0.10803624987602234
mlp,101,target,150920,346882,0.9384177047442354,0.5,176153,68155,14788,87786,0.5504494323718152,0.42284576882631103,0.7210283740196801,0.6674004220672201,0.693178710351463,0.42630172654870535,-0.14422611554492135,0.821708884414598,0.33259957793277994,0.17829111558540203,0.4170082865878859,0.7545003658624951,0.2522816872173344,0.42907601594924927
majority,102,source_heldout,142824,157176,0.938784798073153,0.5,149939,7237,0,0,0.9539560747187866,0.5,0.9539560747187866,1.0,0.9764355371766277,0.48821776858831384,0.0,1.0,0.0,0.0,0.5,0.9539560747187866,0.04604392528121342,0.04604392528121342
majority,102,target,142824,346882,0.938784798073153,0.5,263939,82943,0,0,0.7608898703305447,0.5,0.7608898703305447,1.0,0.8642106279908517,0.43210531399542584,0.0,1.0,0.0,0.0,0.5,0.7608898703305447,0.23911012966945533,0.23911012966945533
stratified,102,source_heldout,142824,157176,0.938784798073153,0.5,140786,6754,483,9153,0.8987949814221,0.5028477685665037,0.9542225837061136,0.9389551751045425,0.9465273178947086,0.5018892738350447,0.004975858180081041,0.9332596379715352,0.061044824895457483,0.06674036202846484,0.5028477685665036,0.9542063147116492,0.0463162665177445,0.10120501857789993
stratified,102,target,142824,346882,0.938784798073153,0.5,247842,77898,5045,16097,0.7290288916692131,0.4999186635873591,0.7608583532878983,0.9390124233250865,0.8405997161167347,0.468769858538744,-0.00029003344587311656,0.9391750961503683,0.06098757667491352,0.06082490384963168,0.4999186635873591,0.7608602754359532,0.2390805936534967,0.27097110833078686
