model,split_seed,domain,group,tau,tp,fp,fn,tn
majority,101,source_heldout,0.0.0.0,0.05,1,2,0,0
majority,101,source_heldout,0.0.0.0,0.1,1,2,0,0
majority,101,source_heldout,0.0.0.0,0.15,1,2,0,0
majority,101,source_heldout,0.0.0.0,0.2,1,2,0,0
majority,101,source_heldout,0.0.0.0,0.25,1,2,0,0
majority,101,source_heldout,0.0.0.0,0.3,1,2,0,0
majority,101,source_heldout,0.0.0.0,0.35,1,2,0,0
majority,101,source_heldout,0.0.0.0,0.4,1,2,0,0
majority,101,source_heldout,0.0.0.0,0.45,1,2,0,0
majority,101,source_heldout,0.0.0.0,0.5,1,2,0,0
majority,101,source_heldout,0.0.0.0,0.55,1,2,0,0
majority,101,source_heldout,0.0.0.0,0.6,1,2,0,0
majority,101,source_heldout,0.0.0.0,0.65,1,2,0,0
majority,101,source_heldout,0.0.0.0,0.7,1,2,0,0
majority,101,source_heldout,0.0.0.0,0.75,1,2,0,0
majority,101,source_heldout,0.0.0.0,0.8,1,2,0,0
majority,101,source_heldout,0.0.0.0,0.85,1,2,0,0
majority,101,source_heldout,0.0.0.0,0.9,1,2,0,0
majority,101,source_heldout,0.0.0.0,0.95,1,2,0,0
majority,101,source_heldout,0.0.0.0,0.975,1,2,0,0
majority,101,source_heldout,0.0.0.0,0.99,1,2,0,0
majority,101,source_heldout,0.0.0.0,0.995,1,2,0,0
majority,101,source_heldout,0.0.0.0,0.999,1,2,0,0
majority,101,source_heldout,137.43.61.179,0.05,0,133,0,0
majority,101,source_heldout,137.43.61.179,0.1,0,133,0,0
majority,101,source_heldout,137.43.61.179,0.15,0,133,0,0
majority,101,source_heldout,137.43.61.179,0.2,0,133,0,0
majority,101,source_heldout,137.43.61.179,0.25,0,133,0,0
majority,101,source_heldout,137.43.61.179,0.3,0,133,0,0
majority,101,source_heldout,137.43.61.179,0.35,0,133,0,0
majority,101,source_heldout,137.43.61.179,0.4,0,133,0,0
majority,101,source_heldout,137.43.61.179,0.45,0,133,0,0
majority,101,source_heldout,137.43.61.179,0.5,0,133,0,0
majority,101,source_heldout,137.43.61.179,0.55,0,133,0,0
majority,101,source_heldout,137.43.61.179,0.6,0,133,0,0
majority,101,source_heldout,137.43.61.179,0.65,0,133,0,0
majority,101,source_heldout,137.43.61.179,0.7,0,133,0,0
majority,101,source_heldout,137.43.61.179,0.75,0,133,0,0
majority,101,source_heldout,137.43.61.179,0.8,0,133,0,0
majority,101,source_heldout,137.43.61.179,0.85,0,133,0,0
majority,101,source_heldout,137.43.61.179,0.9,0,133,0,0
majority,101,source_heldout,137.43.61.179,0.95,0,133,0,0
majority,101,source_heldout,137.43.61.179,0.975,0,133,0,0
majority,101,source_heldout,137.43.61.179,0.99,0,133,0,0
majority,101,source_heldout,137.43.61.179,0.995,0,133,0,0
majority,101,source_heldout,137.43.61.179,0.999,0,133,0,0
majority,101,source_heldout,172.16.0.1,0.05,1,0,0,0
majority,101,source_heldout,172.16.0.1,0.1,1,0,0,0
majority,101,source_heldout,172.16.0.1,0.15,1,0,0,0
majority,101,source_heldout,172.16.0.1,0.2,1,0,0,0
majority,101,source_heldout,172.16.0.1,0.25,1,0,0,0
majority,101,source_heldout,172.16.0.1,0.3,1,0,0,0
majority,101,source_heldout,172.16.0.1,0.35,1,0,0,0
majority,101,source_heldout,172.16.0.1,0.4,1,0,0,0
majority,101,source_heldout,172.16.0.1,0.45,1,0,0,0
majority,101,source_heldout,172.16.0.1,0.5,1,0,0,0
majority,101,source_heldout,172.16.0.1,0.55,1,0,0,0
majority,101,source_heldout,172.16.0.1,0.6,1,0,0,0
majority,101,source_heldout,172.16.0.1,0.65,1,0,0,0
majority,101,source_heldout,172.16.0.1,0.7,1,0,0,0
majority,101,source_heldout,172.16.0.1,0.75,1,0,0,0
majority,101,source_heldout,172.16.0.1,0.8,1,0,0,0
majority,101,source_heldout,172.16.0.1,0.85,1,0,0,0
majority,101,source_heldout,172.16.0.1,0.9,1,0,0,0
majority,101,source_heldout,172.16.0.1,0.95,1,0,0,0
majority,101,source_heldout,172.16.0.1,0.975,1,0,0,0
majority,101,source_heldout,172.16.0.1,0.99,1,0,0,0
majority,101,source_heldout,172.16.0.1,0.995,1,0,0,0
majority,101,source_heldout,172.16.0.1,0.999,1,0,0,0
majority,101,source_heldout,172.16.0.3,0.05,32970,467,0,0
majority,101,source_heldout,172.16.0.3,0.1,32970,467,0,0
majority,101,source_heldout,172.16.0.3,0.15,32970,467,0,0
majority,101,source_heldout,172.16.0.3,0.2,32970,467,0,0
majority,101,source_heldout,172.16.0.3,0.25,32970,467,0,0
majority,101,source_heldout,172.16.0.3,0.3,32970,467,0,0
majority,101,source_heldout,172.16.0.3,0.35,32970,467,0,0
majority,101,source_heldout,172.16.0.3,0.4,32970,467,0,0
majority,101,source_heldout,172.16.0.3,0.45,32970,467,0,0
majority,101,source_heldout,172.16.0.3,0.5,32970,467,0,0
majority,101,source_heldout,172.16.0.3,0.55,32970,467,0,0
majority,101,source_heldout,172.16.0.3,0.6,32970,467,0,0
majority,101,source_heldout,172.16.0.3,0.65,32970,467,0,0
majority,101,source_heldout,172.16.0.3,0.7,32970,467,0,0
majority,101,source_heldout,172.16.0.3,0.75,32970,467,0,0
majority,101,source_heldout,172.16.0.3,0.8,32970,467,0,0
majority,101,source_heldout,172.16.0.3,0.85,32970,467,0,0
majority,101,source_heldout,172.16.0.3,0.9,32970,467,0,0
majority,101,source_heldout,172.16.0.3,0.95,32970,467,0,0
majority,101,source_heldout,172.16.0.3,0.975,32970,467,0,0
majority,101,source_heldout,172.16.0.3,0.99,32970,467,0,0
majority,101,source_heldout,172.16.0.3,0.995,32970,467,0,0
majority,101,source_heldout,172.16.0.3,0.999,32970,467,0,0
majority,101,source_heldout,172.18.0.1,0.05,0,2,0,0
majority,101,source_heldout,172.18.0.1,0.1,0,2,0,0
majority,101,source_heldout,172.18.0.1,0.15,0,2,0,0
majority,101,source_heldout,172.18.0.1,0.2,0,2,0,0
majority,101,source_heldout,172.18.0.1,0.25,0,2,0,0
majority,101,source_heldout,172.18.0.1,0.3,0,2,0,0
majority,101,source_heldout,172.18.0.1,0.35,0,2,0,0
