model,subset,seeds,ba_argus,ba_zeek,diff,diff_lo,diff_hi,fpr_argus,fpr_zeek,tpr_argus,tpr_zeek
hgb,all,10,0.5558591149155763,0.4491382629701922,-0.10672085194538403,-0.1262078727349014,-0.08723383115586666,0.43592758343520266,0.8278154877445957,0.5476458132663553,0.7260920136849803
hgb,clean,10,0.7502498434906802,0.7852725000417804,0.035022656551100304,-0.08497896620664944,0.15502427930885004,0.04714612628499493,0.15554701360141926,0.5476458132663553,0.7260920136849803
logreg,all,10,0.6227240310281014,0.5629086087622117,-0.05981542226588954,-0.07439419926485681,-0.04523664526692227,0.02332250447946147,0.15748043837334075,0.268770566535664,0.28329765589776423
logreg,clean,10,0.6059918008742374,0.4096588811718272,-0.19633291970241035,-0.2270954611282537,-0.16557037827656698,0.056786964787189045,0.46397989355410996,0.268770566535664,0.28329765589776423
mlp,all,10,0.5590071087572334,0.44117912567390505,-0.11782798308332829,-0.14536994676191622,-0.09028601940474033,0.49367726108143406,0.8209891130053169,0.6116914785959009,0.7033473643531271
mlp,clean,10,0.7791909818224271,0.7888025999766818,0.009611618154254686,-0.08326642014349804,0.1024896564520074,0.05330951495104661,0.12574216439976343,0.6116914785959009,0.7033473643531271
rf,all,10,0.5756487925185335,0.43045057356737726,-0.14519821895115625,-0.1545649793500098,-0.13583145855230272,0.5680859303046033,0.8479425629649278,0.7193835153416703,0.7088437100996822
rf,clean,10,0.7772731895259678,0.7153177746240574,-0.06195541490191029,-0.13052583923925012,0.006615009435429538,0.16483713628973481,0.27820816085156713,0.7193835153416703,0.7088437100996822
tree,all,10,0.5429677692541949,0.4280519603499422,-0.11491580890425283,-0.1535181764280933,-0.07631344138041239,0.5756867809836395,0.7646914145859205,0.6616223194920294,0.6207953352858048
tree,clean,10,0.7391390991161697,0.692609376690803,-0.0465297224253667,-0.15066773180530776,0.057608286954574366,0.18334412125969,0.2355765819041987,0.6616223194920294,0.6207953352858048
xgboost,all,10,0.5538099241467079,0.447120842103248,-0.10668908204345988,-0.134466628824871,-0.07891153526204875,0.4230468292111125,0.8200161556731732,0.5306666775045282,0.7142578398796692
xgboost,clean,10,0.7525040309294035,0.7875960991237495,0.035092068194345835,-0.06746825509867774,0.1376523914873694,0.025658615645721083,0.13906564163217028,0.5306666775045282,0.7142578398796692
