file,n,attack,agree,attack_pairs
1,11450.0,10019.0,1.0,1.0
2,11645.0,10022.0,1.0,1.0
3,10043.0,7887.0,1.0,1.0
4,18279.0,613.0,1.0,1.0
5,467717.0,175811.0,1.0,1.0
6,44636.0,4792.0,1.0,1.0
7,93803.0,76121.0,1.0,1.0
8,31015.0,6207.0,1.0,1.0
9,38120.0,29885.0,1.0,1.0
10,1608.0,0.0,1.0,0.0
11,11526.0,10024.0,1.0,1.0
12,11653.0,10030.0,1.0,1.0
13,10305.0,8019.0,1.0,1.0
14,14452.0,542.0,1.0,1.0
15,286197.0,281529.0,1.0,1.0
16,14108.0,4929.0,1.0,1.0
17,93650.0,64691.0,1.0,1.0
18,12656.0,7047.0,1.0,1.0
19,31669.0,29985.0,1.0,1.0
20,1358.0,0.0,1.0,0.0
