station,capture,file,flows,attack,copies,argus_flows,argus_attack
BS1,SYNScan_BS1_nogtp.conn.log,1,10189,10017,0,11450,10019
BS1,TCPConnect_BS1_nogtp.conn.log,2,10212,10020,0,11645,10022
BS1,UDPScan_BS1_nogtp.conn.log,3,8072,7887,0,10043,7887
BS1,ICMPflood_BS1_nogtp.conn.log,4,1038,1,0,18279,613
BS1,UDPflood_BS1_nogtp.conn.log,5,133114,65878,66033,467717,175811
BS1,SYNflood_BS1_nogtp.conn.log,6,6410,4792,0,44636,4792
BS1,Goldeneye_BS1_nogtp.conn.log,7,28083,24441,0,93803,76121
BS1,Slowloris_BS1_nogtp.conn.log,8,3427,2121,0,31015,6207
BS1,Torshammer_BS1_nogtp.conn.log,9,8493,7922,0,38120,29885
BS1,SSH_BS1_nogtp.conn.log,10,318,0,0,1608,0
BS2,SYNscan_BS2_nogtp.conn.log,11,10223,10020,0,11526,10024
BS2,TCPConnect_BS2_nogtp.conn.log,12,10222,10026,0,11653,10030
BS2,UDPScan_BS2_nogtp.conn.log,13,8218,8017,0,10305,8019
BS2,ICMPflood_BS2_nogtp.conn.log,14,925,1,0,14452,542
BS2,UDPflood_BS2_nogtp.conn.log,15,66631,66032,0,286197,281529
BS2,SYNflood_BS2_nogtp.conn.log,16,5674,4929,0,14108,4929
BS2,Goldeneye_BS2_nogtp.conn.log,17,23755,21630,0,93650,64691
BS2,Slowloris_BS2_nogtp.conn.log,18,3327,2290,0,12656,7047
BS2,Torshammer_BS2_nogtp.conn.log,19,8242,7915,0,31669,29985
BS2,SSH_BS2_nogtp.conn.log,20,309,0,0,1358,0
